year,ABC,CBS,HBO,NBC,Netflix,Showtime
2000,18.0,23.0,11.0,16.0,23.0,10.0
2001,16.0,23.5,10.0,12.0,23.5,10.5
2002,19.0,28.0,8.0,15.0,23.0,9.0
2003,19.0,21.0,7.0,13.0,21.0,7.0
2004,21.0,23.0,7.0,13.0,19.0,8.0
2005,22.0,18.0,7.0,10.0,18.0,6.0
2006,23.0,21.0,7.5,10.0,20.0,6.0
2007,20.0,22.0,7.0,11.0,21.5,7.0
2008,12.0,22.5,8.0,8.0,19.0,6.0
2009,17.0,23.0,7.0,9.0,18.0,5.0
2010,20.0,42.5,8.0,9.0,18.0,6.0
2011,15.0,19.0,5.0,9.0,13.0,6.0
2012,17.0,20.0,5.0,10.0,11.0,6.0
2013,17.0,18.0,5.0,8.0,9.0,6.0
2014,18.0,23.0,5.0,8.0,9.0,6.0
2015,18.0,20.0,6.0,9.0,8.0,6.0
2016,18.0,15.0,6.0,10.0,7.0,5.0
2017,16.0,16.0,6.0,12.0,7.0,6.0
2018,12.0,20.0,6.0,12.0,7.0,6.0
2019,12.0,22.0,6.0,15.0,7.0,5.0
2020,15.0,22.0,6.0,16.0,6.0,6.0
2021,11.0,29.0,9.0,12.0,7.0,6.0
2022,14.0,37.0,5.0,13.0,6.0,5.0
2023,17.0,22,5.0,14.0,7.0,5.0
2024,14,32,6.0,13.0,6.0,6.0